id,menu_cat_id,combo_id,combo_qty,combo_item_id,combo_item_name,combo_item_code,combo_item_qty,update_qty,unit_price,top_up,old_unit_price,is_default,is_delete,brand_id
1,37,999001,1,999001356,"CB01c Prm. Iced Cha Yen",CB01c,1,0,0.00,0.00,0.00,0,0,2
1,7,999001,1,999001071,"F18 Sangkaya (Small)",F18,1,0,1057.27,0.00,0.00,0,0,8
2,37,999001,1,999001357,"CB02c Prm. Iced Thai Green Tea",CB02c,1,0,0.00,0.00,0.00,0,0,2
2,5,999001,4,999001001,"PP01 Pat. Pork Thai Rice Noodle",PP01,4,0,634.36,0.00,0.00,0,0,8
3,37,999001,1,999001358,"CB03c Prm. Iced Thai Lemon Tea",CB03c,1,0,0.00,0.00,0.00,0,0,2
4,37,999001,1,999001359,"CB04c Prm. Iced Thai Coffee",CB04c,1,0,0.00,0.00,0.00,0,0,2
4,5,999001,4,999001002,"PC01 Pat. Chick Thai Rice Noodle",PC01,4,0,634.36,0.00,0.00,0,0,8
5,37,999001,1,999001335,"CB18b Hot Cha Yen",CB18b,1,0,0.00,0.00,0.00,0,0,2
5,5,999001,4,999001003,"PP02 Pat. Pork Egg Noodle",PP02,4,0,634.36,0.00,0.00,0,0,8
6,37,999001,1,999001334,"CB19b Hot Thai Green Tea",CB19b,1,0,0.00,0.00,0.00,0,0,2
6,5,999001,4,999001004,"PC02 Pat. Chicken Egg Noodle",PC02,4,0,634.36,0.00,0.00,0,0,8
7,37,999001,1,999001333,"CB21b Hot Thai Lemon Tea",CB21b,1,0,0.00,0.00,0.00,0,0,2
7,5,999001,4,999001043,"PP03 Pat. Pork Glass Noodle",PP03,4,0,634.36,0.00,0.00,0,0,8
8,37,999001,1,999001329,"CB20b Hot Thai Coffee",CB20b,1,0,0.00,0.00,0.00,0,0,2
8,5,999001,4,999001045,"RP01 Red TY. Pork Thai Rice Noodle",RP01,4,0,634.36,0.00,0.00,0,0,8
9,29,999001,1,999001029,"F12 Sangkayaa (normal)",F12,1,0,0.00,0.00,0.00,0,0,2
9,5,999001,4,999001046,"RC01 Red TY. Chicken Rice Noodle",RC01,4,0,634.36,0.00,0.00,0,0,8
10,37,999001,1,999001341,"CB34b Iced Terer Taro",CB34b,1,0,1.00,1.00,0.00,0,0,2
10,5,999001,4,999001047,"RP02 Red TY. Pork Egg Noodle",RP02,4,0,634.36,0.00,0.00,0,0,8
11,37,999001,1,999001342,"CB35b Ice Dark Chocolate",CB35b,1,0,1.00,1.00,0.00,0,0,2
