BILL DATE,BILL TIME,INVOICE NO,ITEM NAME,QTY,GROSS AMT,NETT AMT,BRANCH NAME,PAYMENT TYPE,PAYMENT TYPE NAME,PAYMENT TYPE ID 1,PAYMENT CODE 1
2018-10-01,2018-10-01 09:53:20,111642,R02 Kra Pow Chicken Rice,1,12.20,12.20,BN Sunway Putra Mall,Other,Food Panda,9,n0ir.wyn3
2018-10-01,2018-10-01 09:53:20,111642,R03 Add Rice,1,1.90,1.90,BN Sunway Putra Mall,Other,Food Panda,9,n0ir.wyn3
2018-10-01,2018-10-01 09:53:20,111642,F13 Ayam Legend,1,12.70,12.70,BN Sunway Putra Mall,Other,Food Panda,9,n0ir.wyn3
2018-10-01,2018-10-01 12:51:08,111643,N14 D. Beef Thai Rice Noodle,1,1.90,1.90,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 12:51:08,111643,N43 Kuey Chap Beef Rice Noodle,1,1.90,1.90,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 12:51:08,111643,N01 P. Beef Thai Rice Noodle,1,1.90,1.90,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 12:51:08,111643,F12 Sangkaya Steamed Bread,1,7.10,7.10,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,A01 Fried Wanton Skin,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,A02 Fried Chicken Skin ,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,B18 Mango Smoothie,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,F08 Thai Popeye's Tempura,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,Y18 Dry Tom Yam Beef Springy Noodle,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,N01 P. Beef Thai Rice Noodle,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,N37 Kuey Chap Chicken Rice Noodle,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,N43 Kuey Chap Beef Rice Noodle,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
2018-10-01,2018-10-01 13:03:13,111644,Y25 SUKI SOUP CHICK SPRINGY NOODLE,1,0.00,0.00,BN Sunway Putra Mall,CASH,,0,
