tagName,tagDesc,printer,itemCustomID
Beef Printer,BEEF,RP80 Beef Printer,1
Beef Printer,BEEF,RP80 Beef Printer,2
Beef Printer,BEEF,RP80 Beef Printer,999001001
Beef Printer,BEEF,RP80 Beef Printer,999001002
Beef Printer,BEEF,RP80 Beef Printer,38
Beef Printer,BEEF,RP80 Beef Printer,41
Beef Printer,BEEF,RP80 Beef Printer,44
Beef Printer,BEEF,RP80 Beef Printer,46
Beef Printer,BEEF,RP80 Beef Printer,47
Beef Printer,BEEF,RP80 Beef Printer,50
Beef Printer,BEEF,RP80 Beef Printer,52
Beef Printer,BEEF,RP80 Beef Printer,53
Beef Printer,BEEF,RP80 Beef Printer,56
Beef Printer,BEEF,RP80 Beef Printer,999006046
Beef Printer,BEEF,RP80 Beef Printer,999006047
Beef Printer,BEEF,RP80 Beef Printer,999006050
Beef Printer,BEEF,RP80 Beef Printer,999006052
Beef Printer,BEEF,RP80 Beef Printer,999006053
Beef Printer,BEEF,RP80 Beef Printer,999006056
Beef Printer,BEEF,RP80 Beef Printer,40
Beef Printer,BEEF,RP80 Beef Printer,999005018
Beef Printer,BEEF,RP80 Beef Printer,999005022
Beef Printer,BEEF,RP80 Beef Printer,999005026
Beef Printer,BEEF,RP80 Beef Printer,999005027
Beef Printer,BEEF,RP80 Beef Printer,999005020
Beef Printer,BEEF,RP80 Beef Printer,999005021
Beef Printer,BEEF,RP80 Beef Printer,999005023
Beef Printer,BEEF,RP80 Beef Printer,999005024
Beef Printer,BEEF,RP80 Beef Printer,999005025
Beef Printer,BEEF,RP80 Beef Printer,999005031
Beef Printer,BEEF,RP80 Beef Printer,999005032
Beef Printer,BEEF,RP80 Beef Printer,999009001
Beef Printer,BEEF,RP80 Beef Printer,999009002
Beef Printer,BEEF,RP80 Beef Printer,999009038
Beef Printer,BEEF,RP80 Beef Printer,999009040
Beef Printer,BEEF,RP80 Beef Printer,999009041
Beef Printer,BEEF,RP80 Beef Printer,999009044
Chicken Printer,CHICKEN,RP80 Chicken Printer,3
Chicken Printer,CHICKEN,RP80 Chicken Printer,4
Chicken Printer,CHICKEN,RP80 Chicken Printer,999001003
Chicken Printer,CHICKEN,RP80 Chicken Printer,999001004
Chicken Printer,CHICKEN,RP80 Chicken Printer,39
Chicken Printer,CHICKEN,RP80 Chicken Printer,40
Chicken Printer,CHICKEN,RP80 Chicken Printer,42
Chicken Printer,CHICKEN,RP80 Chicken Printer,43
Chicken Printer,CHICKEN,RP80 Chicken Printer,45
Chicken Printer,CHICKEN,RP80 Chicken Printer,48
Chicken Printer,CHICKEN,RP80 Chicken Printer,49
Chicken Printer,CHICKEN,RP80 Chicken Printer,51
Chicken Printer,CHICKEN,RP80 Chicken Printer,54
Chicken Printer,CHICKEN,RP80 Chicken Printer,55
Chicken Printer,CHICKEN,RP80 Chicken Printer,57
Chicken Printer,CHICKEN,RP80 Chicken Printer,999006048
Chicken Printer,CHICKEN,RP80 Chicken Printer,999006049
Chicken Printer,CHICKEN,RP80 Chicken Printer,999006051
Chicken Printer,CHICKEN,RP80 Chicken Printer,999006054
Chicken Printer,CHICKEN,RP80 Chicken Printer,999006055
Chicken Printer,CHICKEN,RP80 Chicken Printer,999006057
Chicken Printer,CHICKEN,RP80 Chicken Printer,999009003
Chicken Printer,CHICKEN,RP80 Chicken Printer,999009004
Chicken Printer,CHICKEN,RP80 Chicken Printer,999009039
Chicken Printer,CHICKEN,RP80 Chicken Printer,999009042
Chicken Printer,CHICKEN,RP80 Chicken Printer,999009043
Chicken Printer,CHICKEN,RP80 Chicken Printer,999009045
Wok Printer,WOK,RP80 Wok Printer,5
Wok Printer,WOK,RP80 Wok Printer,6
Wok Printer,WOK,RP80 Wok Printer,7
Wok Printer,WOK,RP80 Wok Printer,8
Wok Printer,WOK,RP80 Wok Printer,999002006
Wok Printer,WOK,RP80 Wok Printer,999003005
Wok Printer,WOK,RP80 Wok Printer,37
Wok Printer,WOK,RP80 Wok Printer,999007006
Wok Printer,WOK,RP80 Wok Printer,999008005
Side Printer,SIDE,RP80 Side Printer,9
Side Printer,SIDE,RP80 Side Printer,10
